TRIP_ID,LATITUDE,LONGITUDE
T1,41.1464591552,-8.58432757789
T2,41.1637090483,-8.60180982352
T3,41.1686927913,-8.57325293331
T4,41.1410847113,-8.61452009697
T5,41.1481905056,-8.61972808457
T6,41.1716566512,-8.6261639297
T7,41.1551204364,-8.58227494861
T8,41.1848726556,-8.57903882989
T9,41.1258120677,-8.60547169319
T10,41.197121724,-8.58623935269
T11,41.1687349852,-8.58860930259
T12,41.1489040874,-8.59746728608
T13,41.1579731654,-8.58491795643
T14,41.2369955294,-8.66924248974
T15,41.1431582147,-8.60903000369
T16,41.2156337079,-8.65554145586
T17,41.1551933174,-8.62896925085
T18,41.1562421969,-8.62797831175
T19,41.1640589763,-8.58938772855
T20,41.1605563125,-8.64126684859
T21,41.1488053648,-8.58579482471
T22,41.136345342,-8.61187615557
T23,41.1564991024,-8.62902786633
T24,41.1487531399,-8.58579026681
T25,41.1509777816,-8.64173073041
T26,41.1727435287,-8.60826797952
T27,41.1626273976,-8.59354822594
T28,41.1493637921,-8.58827019036
T29,41.1461959516,-8.6111673731
T30,41.1629742879,-8.58267583396
T31,41.1634501566,-8.58165135186
T32,41.1551595445,-8.60994314805
T33,41.1646591714,-8.6300776687
T34,41.1746444176,-8.56742331158
T35,41.144238561,-8.61661043398
T36,41.1544377629,-8.60474198819
T37,41.1802628644,-8.69232627035
T38,41.1545353852,-8.6307674415
T39,41.1487768308,-8.58583180042
T40,41.1405452274,-8.61600373526
T41,41.1802040714,-8.6042234339
T42,41.1703427336,-8.58617870013
T43,41.1459305601,-8.61334934344
T44,41.1891100606,-8.59415883343
T45,41.1461168461,-8.61763250757
T46,41.1507022121,-8.59426903258
T47,41.1516367531,-8.61778104325
T48,41.1619630594,-8.63252883228
T49,41.1685704212,-8.55317329471
T50,41.1493349558,-8.62559105129
T51,41.1397661601,-8.60212062328
T52,41.1460342064,-8.61070793229
T53,41.1587625053,-8.59875283861
T54,41.1723096996,-8.58550621394
T55,41.1592968273,-8.60091838982
T56,41.165162104,-8.60630733233
T57,41.191460236,-8.59250038614
T58,41.1619315977,-8.63247213396
T59,41.1661024983,-8.64221779311
T60,41.1590344284,-8.60456451719
T61,41.14884889,-8.59755923058
T62,41.1440847223,-8.58177658905
T63,41.1685610602,-8.58891908698
T64,41.1810117534,-8.58336618675
T65,41.1376616693,-8.60418922453
T66,41.1891126142,-8.5943513585
T67,41.145684682,-8.60151755837
T68,41.1645064846,-8.63334835043
T69,41.1451304038,-8.61090759831
T70,41.1572348929,-8.62493892579
T71,41.1586220655,-8.64413229286
T72,41.3280455894,-8.72838446514
T73,41.1508425468,-8.59350431616
T74,41.1683438936,-8.57080447096
T75,41.1576548534,-8.62731249126
T76,41.1694601257,-8.62564952978
T77,41.1466472327,-8.6121735781
T78,41.1545500435,-8.64814592714
T79,41.1839929447,-8.59688647383
T80,41.1725023686,-8.65549745404
T81,41.1573821016,-8.62576274617
T82,41.1700732599,-8.63768885629
T83,41.1621086922,-8.65258213312
T84,41.1808026506,-8.57814038902
T85,41.1489038101,-8.62531888452
T86,41.1487992406,-8.58420146714
T87,41.2212018914,-8.6264376343
T88,41.1653488171,-8.58879363806
T90,41.1463650784,-8.63033607722
T91,41.1568074783,-8.62913660665
T92,41.2339531186,-8.66738659465
T93,41.1621063707,-8.65256224613
T94,41.1541477959,-8.64290039037
T95,41.1524143163,-8.60669645895
T96,41.1862971634,-8.68061186062
T98,41.1590698918,-8.63024007274
T99,41.1534371084,-8.60822061137
T100,41.1775985026,-8.66344672016
T101,41.1478524679,-8.61142055187
T102,41.1443705953,-8.60573040571
T103,41.1572834039,-8.62828447278
T104,41.1813361167,-8.53075451961
T107,41.159884732,-8.59102281506
T109,41.1608802986,-8.60425668426
T110,41.1476061943,-8.62201886363
T111,41.1584354551,-8.66506717235
T112,41.1514545809,-8.60121898744
T113,41.1656225143,-8.59845446145
T114,41.1786750983,-8.6000273731
T115,41.131766524,-8.62679816943
T116,41.246379797,-8.6200884421
T117,41.1955216938,-8.49650116191
T118,41.1837556291,-8.60391441143
T119,41.1770152269,-8.59228218736
T120,41.1820054928,-8.62208976726
T121,41.1365866715,-8.60286644106
T122,41.1628115614,-8.62118046539
T123,41.1598783104,-8.67532617587
T124,41.1643907506,-8.63746744473
T125,41.1541052004,-8.6425041114
T126,41.158073298,-8.63688739787
T127,41.1559387385,-8.65350151448
T128,41.1684582304,-8.60054526294
T129,41.1645561148,-8.63228210158
T130,41.1482253593,-8.62279332592
T131,41.18797092,-7.55392995
T132,41.1459336266,-8.61435959643
T133,41.148351408,-8.62462512356
T134,41.1738308432,-8.67309582296
T135,41.1642109959,-8.60856710499
T136,41.1510308969,-8.60587831126
T137,41.1529726264,-8.6263934816
T138,41.0735991457,-8.57739049795
T139,41.1742370069,-8.58596120964
T140,41.1889978331,-8.580591192
T141,41.1327497194,-8.59866042371
T142,41.1488053774,-8.61138001217
T143,41.1641651451,-8.62738027392
T144,41.1518119053,-8.61047942329
T145,41.1615703537,-8.57251949779
T146,41.1646482608,-8.63993003347
T147,41.1476031108,-8.62207359299
T148,41.1670630944,-8.59435941026
T149,41.2032553843,-8.64933704687
T151,41.1572961207,-8.62513259486
T152,41.1277198756,-8.63686820803
T153,41.1691856907,-8.62507436431
T154,41.1624238389,-8.60873188583
T155,41.1823336601,-8.63794163529
T156,41.1483424925,-8.62460585751
T157,41.1719233171,-8.56756058941
T158,41.1449995427,-8.61712672624
T159,41.1541660134,-8.62877024206
T160,41.1737195113,-8.65401144658
T161,41.1489825849,-8.59889452411
T162,41.1632976245,-8.62481235527
T163,41.1480361139,-8.62339413056
T164,41.1584556439,-8.63149334551
T166,41.1537621872,-8.64120941083
T167,41.1595292903,-8.59539775088
T168,41.1677991319,-8.60650486405
T169,41.168591532,-8.58898447546
T170,41.1542510142,-8.64995257045
T171,41.1557572298,-8.65340603514
T172,41.1505807974,-8.6209979374
T173,41.1752257878,-8.65336871116
T174,41.1901572961,-8.59370917521
T175,41.161621236,-8.65134983747
T176,41.1589421986,-8.60457152961
T177,41.1479313728,-8.62331621045
T178,41.1761470285,-8.66142652347
T179,41.1488113279,-8.58580109652
T180,41.1473128675,-8.61154957311
T181,41.1737092336,-8.60518305781
T182,41.1612320158,-8.60405196886
T183,41.1781983395,-8.61400783167
T184,41.1542576781,-8.64994590568
T185,41.1713993897,-8.67205216383
T186,41.1645425452,-8.6409673413
T187,41.1509478565,-8.57145574914
T188,41.1583865272,-8.58314226169
T189,41.1444463719,-8.61185689735
T190,41.1573785009,-8.62464664818
T191,41.15112359,-8.6073566421
T192,41.1512794251,-8.62898191167
T193,41.1476355318,-8.60861467752
T194,41.1480574617,-8.61462057419
T195,41.1495568114,-8.61039598647
T196,41.1448983581,-8.6113268477
T197,41.1622280747,-8.64974169997
T198,41.1584879513,-8.63153584946
T199,41.1553766888,-8.59512274039
T200,41.1601969542,-8.64306421043
T201,41.1524551027,-8.62715806507
T202,41.1510820107,-8.60721470489
T203,41.174822636,-8.59991345791
T204,41.156001749,-8.61189350797
T205,41.1580308151,-8.6016437537
T206,41.166850511,-8.59744660005
T207,41.1494729865,-8.60433499985
T208,41.1952597591,-8.6062270769
T209,41.1551673411,-8.63029018731
T210,41.1670747311,-8.64959925426
T211,41.1765771978,-8.59403084469
T212,41.1481160086,-8.57959958146
T213,41.109130064,-8.62687118699
T214,41.1535506901,-8.64051341544
T215,41.1522216947,-8.6068936873
T216,41.157878161,-8.57838194616
T217,41.1646758214,-8.63859340136
T218,41.1453808488,-8.61327710807
T219,41.1501425284,-8.64048994191
T220,41.2326350189,-8.6245236975
T221,41.1481339011,-8.62377377772
T222,41.1444816555,-8.60609312938
