TRIP_ID,LATITUDE,LONGITUDE
T1,41.1544562375,-8.59617354334
T2,41.1493900081,-8.60472517374
T3,41.1494661346,-8.56486771399
T4,41.1452553336,-8.61844637181
T5,41.1452714461,-8.61043221587
T6,41.1717160707,-8.6249705191
T7,41.1472080888,-8.58253310463
T8,41.1775742531,-8.58082155076
T9,41.1452653162,-8.60041318675
T10,41.1672727509,-8.61375481088
T11,41.1608908444,-8.58374692129
T12,41.1544562375,-8.59617354334
T13,41.1554968634,-8.59257206587
T14,41.2311427364,-8.67258584081
T15,41.1516806947,-8.61153519099
T16,41.1920300561,-8.63052593075
T17,41.1650671737,-8.62459280797
T18,41.1585010622,-8.62411430641
T19,41.1544562375,-8.59617354334
T20,41.1603582009,-8.63833716204
T21,41.1544562375,-8.59617354334
T22,41.1452714461,-8.61043221587
T23,41.1573224349,-8.63254219525
T24,41.1472080888,-8.58253310463
T25,41.1560561609,-8.6429361142
T26,41.1749231239,-8.60992249465
T27,41.168741741,-8.59517645337
T28,41.1544562375,-8.59617354334
T29,41.1549505441,-8.61231183838
T30,41.1544562375,-8.59617354334
T31,41.1544562375,-8.59617354334
T32,41.1473673285,-8.61602679627
T33,41.1602207575,-8.62440574982
T34,41.1708571948,-8.56288511362
T35,41.1526006061,-8.61349736413
T36,41.160276637,-8.59309357204
T37,41.182420026,-8.69170673701
T38,41.1585247796,-8.62412107651
T39,41.1544562375,-8.59617354334
T40,41.1452714461,-8.61043221587
T41,41.1610661321,-8.61379168393
T42,41.168741741,-8.59517645337
T43,41.1608870858,-8.62270008708
T44,41.1797807924,-8.61025224354
T45,41.1470341872,-8.61798800932
T46,41.153386441,-8.60146896583
T47,41.1515400309,-8.61179728764
T48,41.155469077,-8.63207256456
T49,41.1614239357,-8.57630853408
T50,41.1596073059,-8.61645276655
T51,41.1565033443,-8.60276878209
T52,41.1531805307,-8.61297780978
T53,41.1516590015,-8.60527346271
T54,41.154918383,-8.59886804876
T55,41.1544562375,-8.59617354334
T56,41.1540392765,-8.61279335813
T57,41.1836466581,-8.60978586933
T58,41.155469077,-8.63207256456
T59,41.157216935,-8.5940502683
T60,41.1678776123,-8.60692152243
T61,41.1544562375,-8.59617354334
T62,41.1585759624,-8.58262180808
T63,41.1768420598,-8.59397150939
T64,41.1740137628,-8.59495615769
T65,41.1451756638,-8.60056513924
T66,41.1797807924,-8.61025224354
T67,41.1544562375,-8.59617354334
T68,41.1559869326,-8.61761832769
T69,41.1473673285,-8.61602679627
T70,41.1555967508,-8.62564310611
T71,41.5414870777,-8.4504563555
T72,41.3128655336,-8.66560861214
T73,41.1544562375,-8.59617354334
T74,41.1585105642,-8.58906810063
