TRIP_ID,LATITUDE,LONGITUDE
T1,41.1469218515,-8.58515090187
T2,41.1637249833,-8.60176699111
T3,41.1665806748,-8.57475485434
T4,41.1410708996,-8.61471687564
T5,41.1478502743,-8.62014936801
T6,41.1717894606,-8.62619799146
T7,41.1544393435,-8.5818146243
T8,41.1852268272,-8.57892536799
T9,41.1257643195,-8.60544690835
T10,41.1965684856,-8.58667277639
T11,41.1693361688,-8.58932476435
T12,41.1489462276,-8.59711642961
T13,41.1577890315,-8.58500819961
T14,41.2373912253,-8.66972565033
T15,41.1432479985,-8.6094493715
T16,41.2156141221,-8.65620226077
T17,41.1551669332,-8.6289350386
T18,41.1562067892,-8.62796451474
T19,41.1639299565,-8.58973740328
T20,41.1611999474,-8.64078412972
T21,41.1488045943,-8.58585769171
T22,41.1364755493,-8.61168174388
T23,41.1564268216,-8.62903271461
T24,41.1488045943,-8.58585769171
T25,41.1512827248,-8.6417929641
T26,41.1729470785,-8.60644188915
T27,41.1625582597,-8.59355055206
T28,41.1488024913,-8.58618123646
T29,41.1462118922,-8.61129967137
T30,41.1629274939,-8.58305833387
T31,41.1629276973,-8.5830694425
T32,41.1549347706,-8.60976212463
T33,41.1648063504,-8.62975202127
T34,41.1747368183,-8.56722033595
T35,41.1442051831,-8.61677929842
T36,41.1547355437,-8.60465621965
T37,41.1802546003,-8.69232991515
T38,41.1545793395,-8.6307310175
T39,41.1488043978,-8.58585829903
T40,41.1405760642,-8.61610454616
T41,41.1801949525,-8.60427662476
T42,41.1701407519,-8.58502054515
T43,41.1459571271,-8.61322256277
T44,41.188077218,-8.59396876148
T45,41.1461491029,-8.61766027139
T46,41.1507486652,-8.59462955475
T47,41.1517536361,-8.61781838348
T48,41.162238106,-8.63286328585
T49,41.1685091083,-8.55286103263
T50,41.1493602545,-8.62566740861
T51,41.1405829262,-8.6023881231
T52,41.1461111252,-8.61062762039
T53,41.1585842094,-8.59871228756
T54,41.1709279583,-8.58696037287
T55,41.1593362979,-8.60078217185
T56,41.1642482141,-8.60625560317
T57,41.189037415,-8.59394472833
T58,41.1622240644,-8.63284870647
T59,41.1671121857,-8.64328390184
T60,41.1589495311,-8.60459382579
T61,41.1487068873,-8.59774070275
T62,41.1454998757,-8.5811471549
T63,41.169311428,-8.58944875738
T64,41.1808782292,-8.58332947785
T65,41.1372513081,-8.60350440659
T66,41.1877970009,-8.59392112775
T67,41.1459375014,-8.60189673111
T68,41.1645777797,-8.63197765414
T69,41.144902866,-8.61094250335
T70,41.1573226278,-8.62498865974
T71,41.3603072482,-8.50780745883
T72,41.3296005727,-8.72753184019
T73,41.1509114954,-8.59359831522
T74,41.1682143789,-8.57039028819
T75,41.1576275733,-8.62723974898
T76,41.1694650844,-8.62566701222
T77,41.1463412388,-8.61180609624
T78,41.1543941388,-8.648151289
T79,41.1848765483,-8.59723504647
T80,41.171887808,-8.65577938937
T81,41.1573923213,-8.6258088625
T82,41.1687020792,-8.63885527441
T83,41.1620091992,-8.65253650083
T84,41.180808721,-8.57958028161
T85,41.1490512952,-8.62538862316
T86,41.148825499,-8.58417795949
T87,41.2217836612,-8.62634547072
T88,41.1651985523,-8.58890656423
T90,41.146064081,-8.62992791748
T91,41.1567927657,-8.62958302938
T92,41.2330995883,-8.6673498939
T93,41.1620017434,-8.65251486984
T94,41.1543621881,-8.64378760765
T95,41.1529704341,-8.60653358288
T96,41.1857565629,-8.68042548496
T98,41.1587337455,-8.63007690571
T99,41.1535043413,-8.60812391543
T100,41.1775979734,-8.66346272482
T101,41.1477936302,-8.6113865734
T102,41.1443166419,-8.60566404351
T103,41.1572882018,-8.62825125056
T104,41.1812923547,-8.53098489072
T107,41.163239973,-8.59594203832
T109,41.1609053303,-8.60422662133
T110,41.1475908235,-8.62188281747
T111,41.1586247337,-8.66509495272
T112,41.1479349043,-8.60152652717
T113,41.1658799368,-8.59813333719
T114,41.178964212,-8.59972337441
T115,41.1315937047,-8.62655847199
T116,41.246047218,-8.6203922361
T117,41.1934323251,-8.49053531924
T118,41.1836367262,-8.60379556493
T119,41.1769976054,-8.59173565243
T120,41.1803119827,-8.62151198782
T121,41.1378439572,-8.60208183444
T122,41.162889607,-8.62123049713
T123,41.1608627018,-8.67286521041
T124,41.1644470762,-8.63762907825
T125,41.1543297101,-8.64373449459
T126,41.1580855099,-8.63693095696
T127,41.1561980765,-8.65343768936
T128,41.1684127731,-8.6004159096
T129,41.1646633298,-8.63226138515
T130,41.1482147637,-8.62287883266
T131,41.1919339093,-7.55063060629
T132,41.1457914136,-8.61490696401
T133,41.1483738797,-8.62460397297
T134,41.173695623,-8.67328374835
T135,41.1641484885,-8.60861516048
T136,41.1511955569,-8.60608724344
T137,41.1530946748,-8.62642573429
T138,41.0718191288,-8.57696698785
T139,41.1746586977,-8.58458823802
T140,41.1889775848,-8.58044071939
T141,41.1333196477,-8.59884584974
T142,41.1480431592,-8.61154761152
T143,41.1641343486,-8.62761656338
T144,41.1516572201,-8.61073017988
T145,41.1611617149,-8.57420522141
T146,41.1644551702,-8.64086795416
T147,41.1475870419,-8.62202307947
T148,41.1668014313,-8.59464032073
T149,41.2031439609,-8.64816280417
T151,41.1573856952,-8.62524413176
T152,41.1281412352,-8.63666316889
T153,41.1688990996,-8.62500140665
T154,41.162415855,-8.60879488272
T155,41.1821857531,-8.63797081686
T156,41.1483516686,-8.62455975644
T157,41.172419286,-8.56720770649
T158,41.1451174702,-8.61713008572
T159,41.1541168611,-8.62878795353
T160,41.1737382018,-8.65410049491
T161,41.1486991358,-8.59878150213
T162,41.1632774479,-8.62460633195
T163,41.1476662327,-8.62240017338
T164,41.158569174,-8.63150894084
T166,41.1536497278,-8.64065659919
T167,41.1593952514,-8.59527790579
T168,41.1694582661,-8.60565126226
T169,41.1693318911,-8.5893466186
T170,41.1542558071,-8.64986306178
T171,41.1561268098,-8.65320697294
T172,41.150661088,-8.62107728592
T173,41.175226573,-8.65326754088
T174,41.1897090547,-8.5936526212
T175,41.1616242373,-8.65177096975
T176,41.1589044358,-8.60460151785
T177,41.1479429775,-8.62324120332
T178,41.1757612233,-8.6610918706
T179,41.1488046385,-8.58585821614
T180,41.1476011306,-8.61136150782
T181,41.1738599198,-8.6056730438
T182,41.1610755572,-8.60419454749
T183,41.1782278569,-8.61400851186
T184,41.1542620241,-8.6498631491
T185,41.1714554679,-8.67223554854
T186,41.1645149475,-8.64126494224
T187,41.1509996916,-8.57158727952
T188,41.1589549603,-8.5817290858
T189,41.1443968683,-8.61209414731
T190,41.1573129605,-8.62451380498
T191,41.1474981474,-8.60683290492
T192,41.1511420187,-8.62884338054
T193,41.1477581065,-8.60880671102
T194,41.1479901382,-8.61545485414
T195,41.1495288992,-8.61032600117
T196,41.1447342217,-8.61151237401
T197,41.1620980113,-8.64980280931
T198,41.1585694329,-8.63155361132
T199,41.1554161068,-8.59513434717
T200,41.1602809958,-8.64368061494
T201,41.1524181041,-8.62693098636
T202,41.1509673639,-8.60708704287
T203,41.1747936535,-8.6003752486
