TRIP_ID,LATITUDE,LONGITUDE
T1,41.1477813721,-8.58771800995
T2,41.1633033752,-8.60142612457
T3,41.1657218933,-8.57846736908
T4,41.1423721313,-8.61448001862
T5,41.1487236023,-8.61905288696
T6,41.1718063354,-8.62608337402
T7,41.1562805176,-8.58170795441
T8,41.1840934753,-8.57898521423
T9,41.1258468628,-8.60591411591
T10,41.1883201599,-8.59220218658
T11,41.1671028137,-8.58973026276
T12,41.1496162415,-8.59823799133
T13,41.1581878662,-8.58579063416
T14,41.2369308472,-8.66991233826
T15,41.1438789368,-8.61151027679
T16,41.2151908875,-8.65892028809
T17,41.1549911499,-8.62857913971
T18,41.1563873291,-8.62853240967
T19,41.1637420654,-8.59069633484
T20,41.1610488892,-8.64175224304
T21,41.1489944458,-8.58751964569
T22,41.1382789612,-8.61110305786
T23,41.1568183899,-8.62827301025
T24,41.1489562988,-8.58757019043
T25,41.1525115967,-8.64169883728
T26,41.1722640991,-8.60758209229
T27,41.1621246338,-8.59376239777
T28,41.1496086121,-8.58939170837
T29,41.1464996338,-8.61167430878
T30,41.161945343,-8.58409881592
T31,41.1624603271,-8.58425712585
T32,41.1547584534,-8.60981273651
T33,41.1653137207,-8.63374614716
T34,41.1717224121,-8.57051563263
T35,41.1430931091,-8.61764240265
T36,41.152217865,-8.60771179199
T37,41.179649353,-8.69048404694
T38,41.1550483704,-8.63146400452
T39,41.148765564,-8.58801746368
T40,41.141998291,-8.61487865448
T41,41.1795806885,-8.60512638092
T42,41.1688995361,-8.5868062973
T43,41.1459007263,-8.61380290985
T44,41.1818199158,-8.59868526459
T45,41.1469535828,-8.61741065979
T46,41.1502838135,-8.59388160706
T47,41.1516609192,-8.61848068237
T48,41.161403656,-8.63197994232
T49,41.1669616699,-8.5560131073
T50,41.1505126953,-8.62604045868
T51,41.14295578,-8.60461807251
T52,41.1464271545,-8.61119174957
T53,41.1593437195,-8.5997800827
T54,41.1694831848,-8.58855342865
T55,41.1584777832,-8.60188770294
T56,41.1631774902,-8.60707378387
T57,41.1848297119,-8.59720039368
T58,41.1619033813,-8.63243865967
T59,41.1690292358,-8.64654064178
T60,41.1591453552,-8.60515880585
T61,41.1497688293,-8.59835338593
T62,41.1454582214,-8.58381652832
T63,41.1669692993,-8.59007358551
T64,41.1796875,-8.58482074738
T65,41.138217926,-8.60256004333
T66,41.1817970276,-8.59868526459
T67,41.1459999084,-8.60256385803
T68,41.1651077271,-8.62969398499
T69,41.1455116272,-8.61168575287
T70,41.1574935913,-8.62484741211
T71,41.3386802673,-8.58098125458
T72,41.3260993958,-8.73115921021
T73,41.151512146,-8.59530544281
T74,41.1667480469,-8.57531929016
T75,41.1570396423,-8.62787914276
T76,41.1689872742,-8.62600421906
T77,41.147480011,-8.61197376251
T78,41.1547203064,-8.64694023132
T79,41.1816749573,-8.59877872467
T80,41.1723251343,-8.65491962433
T81,41.1576919556,-8.625872612
T82,41.1673851013,-8.63959121704
T83,41.1622848511,-8.65111351013
T84,41.1780929565,-8.58098983765
T85,41.15184021,-8.62603282928
T86,41.1483383179,-8.5857629776
T87,41.2215614319,-8.63106632233
T88,41.1641921997,-8.59017753601
T90,41.1494903564,-8.63042736053
T91,41.1560897827,-8.62973976135
T92,41.236541748,-8.66999340057
T93,41.1617965698,-8.65069675446
T94,41.1561508179,-8.64510440826
T95,41.1541976929,-8.60281276703
T96,41.185092926,-8.68189430237
T98,41.1584663391,-8.62993717194
T99,41.1512107849,-8.61838340759
T100,41.1766777039,-8.66410064697
T101,41.1498374939,-8.61190414429
T102,41.1448364258,-8.60626411438
T103,41.1569023132,-8.62871456146
T104,41.1797332764,-8.53811168671
T107,41.1636505127,-8.58462429047
T109,41.1622200012,-8.60374259949
T110,41.1485481262,-8.62214183807
T111,41.1597976685,-8.66505146027
T112,41.1496543884,-8.60015106201
T113,41.1653709412,-8.59906291962
T114,41.1763458252,-8.60046672821
T115,41.1330070496,-8.62576675415
T116,41.2365608215,-8.62268447876
T117,41.1909446716,-8.50823783875
T118,41.1820755005,-8.60411071777
T119,41.1743087769,-8.59171485901
T120,41.1778907776,-8.61915206909
T121,41.1410827637,-8.60398101807
T122,41.1628074646,-8.62334823608
T123,41.1608047485,-8.67127990723
T124,41.1647796631,-8.64139270782
T125,41.1550788879,-8.6416053772
T126,41.1585044861,-8.63759708405
T127,41.1562576294,-8.65204524994
T128,41.1677703857,-8.60019111633
T129,41.164150238,-8.63096427917
T130,41.149936676,-8.62241077423
T131,41.0498771667,-8.2724609375
T132,41.1461029053,-8.61590862274
T133,41.1487007141,-8.62440013885
T134,41.1744232178,-8.67137336731
T135,41.1638412476,-8.61067199707
T136,41.1520881653,-8.60500431061
T137,41.153087616,-8.62753009796
T138,41.0723762512,-8.57595729828
T139,41.173625946,-8.58604717255
T140,41.1843452454,-8.58383750916
T141,41.1336174011,-8.59907150269
T142,41.1481361389,-8.61120319366
T143,41.1635284424,-8.62723064423
T144,41.1512145996,-8.61040306091
T145,41.1595726013,-8.57792568207
T146,41.1648025513,-8.64085865021
T147,41.1479606628,-8.62161540985
T148,41.1675682068,-8.59436321259
T149,41.2052192688,-8.65312290192
T151,41.1569480896,-8.62504577637
T152,41.136882782,-8.63767910004
T153,41.1684989929,-8.62529659271
T154,41.1622772217,-8.60964679718
T155,41.1808776855,-8.63867282867
T156,41.1491088867,-8.62594509125
T157,41.1709480286,-8.56923484802
T158,41.1456794739,-8.61620616913
T159,41.1528778076,-8.62821769714
T160,41.1742630005,-8.65453624725
T161,41.1496315002,-8.59969425201
T162,41.1632728577,-8.62429046631
T163,41.1480865479,-8.62158107758
T164,41.1577911377,-8.62970066071
T166,41.1540908813,-8.63819599152
T167,41.1599998474,-8.59435558319
T168,41.1690101624,-8.60613059998
T169,41.1669502258,-8.58849334717
T170,41.1539955139,-8.64967632294
T171,41.1567306519,-8.65235328674
T172,41.1496887207,-8.62030029297
T173,41.1753501892,-8.65440368652
